NIM;Nama;Program Studi;Jalur Masuk;Asal Sekolah;Tahun_PMB;IPS Semester 1;Jumlah sks Semester Semester 1;IPK Semester 1;Jumlah sks Total Semester 1;IPS Semester 2;Jumlah sks Semester Semester 2;IPK Semester 2;Jumlah sks Total Semester 2;Target
1914101110001;651;20;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;3.92;15.0;3.92;15.0;1
1914101110002;1149;20;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;4.0;15.0;4.0;15.0;1
1914101110003;1898;20;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;4.0;15.0;4.0;15.0;1
1914101110004;2841;20;8;184;3;0.0;20.35910878112713;3.443432379287743;0.0;3.96;15.0;3.96;15.0;1
1914101110005;3395;20;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;4.0;15.0;4.0;15.0;1
1914101110006;4022;20;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;4.0;15.0;4.0;15.0;1
1914101110007;230;20;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;4.0;15.0;4.0;15.0;1
1914101110008;478;20;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;3.96;15.0;3.96;15.0;1
1914101110009;538;20;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;3.94;15.0;3.94;15.0;1
1914101110010;745;20;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;4.0;15.0;4.0;15.0;1
1914101110011;1596;20;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;4.0;15.0;4.0;15.0;1
1914101110012;2357;20;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;3.96;15.0;3.96;15.0;1
1914101110013;2970;20;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;4.0;15.0;4.0;15.0;1
1914201110001;39;11;2;184;1;3.61;22.0;3.61;22.0;3.54;22.0;3.58;44.0;1
1914201110002;50;11;8;184;1;3.2;22.0;3.2;22.0;2.97;22.0;3.09;44.0;1
1914201110003;95;11;8;184;1;3.1;22.0;3.1;22.0;3.06;22.0;3.08;44.0;1
1914201110004;112;11;8;184;1;3.32;22.0;3.32;22.0;3.64;22.0;3.48;44.0;1
1914201110005;134;11;4;184;1;3.26;22.0;3.26;22.0;3.21;22.0;3.24;44.0;1
1914201110006;194;11;3;184;1;3.23;22.0;3.23;22.0;3.15;22.0;3.19;44.0;1
1914201110007;324;11;8;184;1;3.3;22.0;3.3;22.0;3.01;22.0;3.15;44.0;1
1914201110008;325;11;10;184;1;3.64;22.0;3.64;22.0;3.73;22.0;3.68;44.0;1
1914201110009;369;11;4;184;1;3.22;22.0;3.22;22.0;3.16;22.0;3.19;44.0;1
1914201110010;565;11;4;184;1;3.77;22.0;3.77;22.0;3.92;22.0;3.84;44.0;1
1914201110011;608;11;8;184;1;3.15;22.0;3.15;22.0;3.25;22.0;3.2;44.0;1
1914201110012;706;11;2;184;1;3.18;22.0;3.18;22.0;3.06;22.0;3.12;44.0;1
1914201110013;712;11;8;184;1;3.4;22.0;3.4;22.0;3.57;22.0;3.48;44.0;1
1914201110014;801;11;8;184;1;3.79;22.0;3.79;22.0;3.95;22.0;3.87;44.0;1
1914201110015;914;11;5;184;1;3.5;22.0;3.5;22.0;3.53;22.0;3.51;44.0;1
1914201110016;951;11;4;184;1;3.14;22.0;3.14;22.0;3.84;22.0;3.49;44.0;1
1914201110017;1010;11;4;184;1;3.37;22.0;3.37;22.0;3.22;22.0;3.29;44.0;1
1914201110018;1093;11;4;184;1;3.77;22.0;3.77;22.0;3.49;22.0;3.63;44.0;1
1914201110019;1200;11;10;184;1;2.79;22.0;2.79;22.0;3.57;22.0;3.18;44.0;1
1914201110021;1212;11;4;184;1;3.31;22.0;3.31;22.0;3.27;22.0;3.29;44.0;1
1914201110022;1231;11;4;184;1;3.5;22.0;3.5;22.0;3.65;22.0;3.58;44.0;1
1914201110023;1415;11;2;184;1;3.39;22.0;3.39;22.0;3.18;22.0;3.29;44.0;1
1914201110024;1481;11;8;184;1;3.14;22.0;3.14;22.0;3.03;22.0;3.08;44.0;1
1914201110025;1482;11;2;184;1;3.25;22.0;3.25;22.0;3.63;22.0;3.44;44.0;1
1914201110026;1551;11;5;184;1;1.24;22.0;1.24;22.0;0.0;0.0;1.24;22.0;0
1914201110027;1700;11;10;184;1;3.72;22.0;3.72;22.0;3.89;22.0;3.8;44.0;1
1914201110028;1702;11;8;184;1;3.56;22.0;3.56;22.0;3.69;22.0;3.63;44.0;1
1914201110029;1712;11;10;184;1;3.31;22.0;3.31;22.0;3.34;22.0;3.33;44.0;1
1914201110030;1757;11;4;184;1;3.2;22.0;3.2;22.0;3.22;22.0;3.21;44.0;1
1914201110031;1799;11;8;184;1;3.56;22.0;3.56;22.0;3.63;22.0;3.59;44.0;1
1914201110032;2400;11;4;184;1;0.09;22.0;0.09;22.0;0.0;0.0;0.09;22.0;0
1914201110033;1929;11;4;184;1;3.2;22.0;3.2;22.0;3.06;22.0;3.13;44.0;1
1914201110034;2024;11;2;184;1;3.49;22.0;3.49;22.0;3.36;22.0;3.43;44.0;1
1914201110035;2168;11;2;184;1;3.37;22.0;3.37;22.0;3.08;22.0;3.23;44.0;1
1914201110036;2169;11;10;184;1;3.53;22.0;3.53;22.0;3.47;22.0;3.5;44.0;1
1914201110037;2242;11;2;184;1;3.27;22.0;3.27;22.0;3.38;22.0;3.33;44.0;1
1914201110038;2349;11;2;184;1;3.75;22.0;3.75;22.0;3.85;22.0;3.8;44.0;1
1914201110039;2485;11;5;184;1;3.23;22.0;3.23;22.0;3.28;22.0;3.25;44.0;1
1914201110040;2592;11;8;184;1;3.42;22.0;3.42;22.0;3.17;22.0;3.29;44.0;1
1914201110041;2727;11;4;184;1;3.15;22.0;3.15;22.0;3.55;22.0;3.35;44.0;1
1914201110042;2823;11;8;184;3;3.88;22.0;3.88;22.0;3.75;22.0;3.82;44.0;1
1914201110043;2877;11;8;184;1;3.04;22.0;3.04;22.0;2.95;22.0;2.99;44.0;1
1914201110044;2987;11;10;184;1;3.29;22.0;3.29;22.0;2.96;22.0;3.13;44.0;1
1914201110045;2913;11;10;184;1;3.74;22.0;3.74;22.0;3.03;22.0;3.38;44.0;1
1914201110046;2933;11;2;184;1;3.31;22.0;3.31;22.0;3.85;22.0;3.58;44.0;1
1914201110047;2995;11;2;184;1;2.86;22.0;2.86;22.0;3.01;22.0;2.94;44.0;1
1914201110048;3015;11;8;184;1;3.01;22.0;3.01;22.0;3.29;22.0;3.15;44.0;1
1914201110049;3029;11;8;184;1;3.26;22.0;3.26;22.0;3.8;22.0;3.53;44.0;1
1914201110050;3124;11;4;184;1;2.94;22.0;2.94;22.0;2.89;22.0;2.91;44.0;1
1914201110051;3175;11;4;184;1;3.42;22.0;3.42;22.0;3.92;22.0;3.67;44.0;1
1914201110052;3198;11;10;184;1;3.66;22.0;3.66;22.0;3.42;22.0;3.54;44.0;1
1914201110053;3216;11;8;184;1;3.27;22.0;3.27;22.0;3.65;22.0;3.46;44.0;1
1914201110054;3299;11;8;184;1;3.46;22.0;3.46;22.0;3.8;22.0;3.63;44.0;1
1914201110055;3365;11;4;184;1;3.85;22.0;3.85;22.0;3.84;22.0;3.85;44.0;1
1914201110056;3406;11;8;184;1;3.28;22.0;3.28;22.0;3.57;22.0;3.43;44.0;1
1914201110057;3507;11;10;184;1;3.41;22.0;3.41;22.0;3.65;22.0;3.53;44.0;1
1914201110058;3604;11;10;184;1;3.23;22.0;3.23;22.0;3.14;22.0;3.18;44.0;1
1914201110059;3609;11;8;184;1;2.95;22.0;2.95;22.0;3.01;22.0;2.98;44.0;1
1914201110060;3637;11;4;184;1;3.61;22.0;3.61;22.0;3.63;22.0;3.62;44.0;1
1914201110061;3704;11;10;184;1;3.07;22.0;3.07;22.0;3.11;22.0;3.09;44.0;1
1914201110062;3826;11;10;184;1;3.8;22.0;3.8;22.0;3.84;22.0;3.82;44.0;1
1914201110063;3935;11;8;184;1;3.39;22.0;3.39;22.0;3.56;22.0;3.47;44.0;1
1914201110064;4131;11;8;184;1;3.14;22.0;3.14;22.0;3.12;22.0;3.13;44.0;1
1914201110065;4155;11;8;184;1;3.62;22.0;3.62;22.0;3.83;22.0;3.73;44.0;1
1914201110066;4181;11;10;184;1;0.9;22.0;0.9;22.0;1.81;22.0;1.35;44.0;0
1914201110067;4309;11;4;184;1;3.6;22.0;3.6;22.0;3.23;22.0;3.41;44.0;1
1914201110068;1842;11;2;184;1;3.57;22.0;3.57;22.0;3.48;22.0;3.52;44.0;1
1914201110127;640;11;5;184;1;3.03;22.0;3.03;22.0;3.14;22.0;3.08;44.0;1
1914201110128;2654;11;10;184;1;3.17;22.0;3.17;22.0;3.37;22.0;3.27;44.0;1
1914201210084;22;11;4;184;1;3.04;24.0;3.38;109.0;3.05;23.0;3.05;132.0;1
1914201210085;103;11;4;184;1;3.23;24.0;3.5;109.0;3.53;23.0;3.38;132.0;1
1914201210086;109;11;2;184;1;3.1;24.0;3.11;109.0;3.26;23.0;3.18;132.0;1
1914201210087;211;11;8;184;1;2.85;24.0;3.2;109.0;3.13;23.0;2.99;132.0;1
1914201210088;270;11;8;184;1;2.91;24.0;3.14;109.0;3.23;23.0;3.06;132.0;1
1914201210089;422;11;8;184;1;2.94;24.0;3.31;109.0;3.05;23.0;3.0;132.0;1
1914201210090;746;11;4;184;1;2.88;24.0;3.14;109.0;3.09;23.0;2.99;132.0;1
1914201210091;903;11;3;184;1;2.77;24.0;3.04;109.0;3.0;23.0;2.88;132.0;1
1914201210092;993;11;8;184;1;2.83;24.0;3.17;109.0;3.07;23.0;2.95;132.0;1
1914201210093;1118;11;10;184;1;2.88;24.0;3.17;109.0;3.09;23.0;2.98;132.0;1
1914201210094;1174;11;4;184;1;3.06;24.0;3.36;109.0;3.31;23.0;3.18;132.0;1
1914201210095;1318;11;8;184;1;2.57;24.0;3.24;109.0;3.05;23.0;2.8;132.0;1
1914201210096;1343;11;8;184;1;3.15;24.0;3.42;109.0;3.31;23.0;3.23;132.0;1
1914201210097;1730;11;2;184;1;2.9;24.0;3.24;109.0;3.2;23.0;3.05;132.0;1
1914201210098;1793;11;8;184;1;2.8;24.0;3.04;109.0;3.06;23.0;2.93;132.0;1
1914201210099;2350;11;8;184;1;2.8;24.0;3.26;109.0;3.03;23.0;2.91;132.0;1
1914201210100;1939;11;8;184;1;3.03;24.0;3.01;109.0;3.4;23.0;3.21;132.0;1
1914201210101;2213;11;2;184;1;3.15;24.0;3.56;109.0;0.0;23.0;1.61;132.0;0
1914201210102;2251;11;8;184;1;3.3;24.0;3.57;109.0;3.83;23.0;3.56;132.0;1
1914201210103;2261;11;8;184;1;2.88;24.0;3.41;109.0;3.06;23.0;2.97;132.0;1
1914201210104;2299;11;5;184;1;2.62;24.0;3.41;109.0;3.19;23.0;2.9;132.0;1
1914201210105;2366;11;4;184;1;2.92;24.0;3.17;109.0;3.16;23.0;3.03;132.0;1
1914201210106;2674;11;4;184;1;2.85;24.0;3.04;109.0;3.05;23.0;2.95;132.0;1
1914201210107;2734;11;4;184;1;3.3;24.0;3.46;109.0;3.75;23.0;3.52;132.0;1
1914201210108;2757;11;10;184;1;2.88;24.0;3.51;109.0;3.46;23.0;3.16;132.0;1
1914201210109;2769;11;4;184;1;2.26;24.0;2.86;109.0;3.07;23.0;2.66;132.0;0
1914201210110;2786;11;8;184;1;2.83;24.0;2.93;109.0;3.32;23.0;3.07;132.0;1
1914201210111;2880;11;2;184;1;1.98;24.0;3.03;109.0;3.0;23.0;2.48;132.0;0
1914201210112;2983;11;8;184;1;2.8;24.0;3.2;109.0;3.0;23.0;2.9;132.0;1
1914201210113;3026;11;2;184;1;3.2;24.0;3.04;109.0;3.41;23.0;3.3;132.0;1
1914201210114;3094;11;5;184;1;2.91;24.0;3.5;109.0;3.55;23.0;3.22;132.0;1
1914201210115;3162;11;2;184;1;2.93;24.0;3.34;109.0;3.24;23.0;3.09;132.0;1
1914201210116;3261;11;8;184;1;2.8;24.0;3.37;109.0;3.0;23.0;2.9;132.0;1
1914201210117;3541;11;10;184;1;2.89;24.0;3.3;109.0;3.43;23.0;3.16;132.0;1
1914201210118;3560;11;4;184;1;2.8;24.0;3.12;109.0;3.07;23.0;2.93;132.0;1
1914201210119;3707;11;8;184;1;3.07;24.0;3.36;109.0;3.13;23.0;3.1;132.0;1
1914201210120;3749;11;4;184;1;3.33;24.0;3.31;109.0;3.62;23.0;3.47;132.0;1
1914201210121;3945;11;4;184;1;2.88;24.0;3.17;109.0;3.13;23.0;3.0;132.0;1
1914201210122;4048;11;2;184;1;2.88;24.0;3.29;109.0;3.15;23.0;3.01;132.0;1
1914201210123;4172;11;2;184;1;1.92;24.0;3.05;109.0;3.0;23.0;2.45;132.0;0
1914201210124;4252;11;8;184;1;2.83;24.0;3.03;109.0;3.05;23.0;2.94;132.0;1
1914201210125;1334;11;2;184;1;2.79;24.0;3.16;109.0;3.1;23.0;2.94;132.0;1
1914201210126;2865;11;10;184;1;2.8;24.0;3.05;109.0;3.13;23.0;2.96;132.0;1
1914201210130;2670;11;5;184;1;2.97;24.0;3.36;109.0;3.49;23.0;3.22;132.0;1
1914201210131;893;11;8;184;1;2.15;24.0;3.27;109.0;3.27;23.0;2.7;132.0;0
1914201210132;2401;11;4;184;1;1.95;24.0;2.78;109.0;3.0;23.0;2.46;132.0;0
1914201210133;3155;11;8;184;1;2.16;24.0;3.48;109.0;3.25;23.0;2.69;132.0;0
1914201210134;2876;11;8;184;1;1.76;24.0;3.13;109.0;3.33;23.0;2.53;132.0;0
1914201310069;434;11;4;184;1;3.85;22.0;3.85;22.0;3.92;22.0;3.88;44.0;1
1914201310070;471;11;10;184;1;3.53;22.0;3.53;22.0;3.78;22.0;3.66;44.0;1
1914201310072;916;11;2;184;1;3.75;22.0;3.75;22.0;3.92;22.0;3.83;44.0;1
1914201310073;1054;11;8;184;1;3.15;22.0;3.15;22.0;3.4;22.0;3.27;44.0;1
1914201310074;2454;11;10;184;1;3.57;22.0;3.57;22.0;3.76;22.0;3.67;44.0;1
1914201310075;1923;11;8;184;1;3.77;22.0;3.77;22.0;3.92;22.0;3.84;44.0;1
1914201310076;1960;11;8;184;1;3.51;22.0;3.51;22.0;3.75;22.0;3.63;44.0;1
1914201310077;2321;11;2;184;1;3.41;22.0;3.41;22.0;2.84;22.0;3.13;44.0;1
1914201310078;2537;11;10;184;1;3.19;22.0;3.19;22.0;3.05;22.0;3.12;44.0;1
1914201310080;3032;11;8;184;1;3.3;22.0;3.3;22.0;3.51;22.0;3.41;44.0;1
1914201310081;3041;11;4;184;1;3.51;22.0;3.51;22.0;3.44;22.0;3.48;44.0;1
1914201310082;3660;11;4;184;1;3.5;22.0;3.5;22.0;3.69;22.0;3.6;44.0;1
1914201310083;4249;11;8;184;1;3.69;22.0;3.69;22.0;3.73;22.0;3.71;44.0;1
1914201310129;1811;11;10;184;1;0.23;22.0;0.23;22.0;0.0;0.0;0.23;22.0;0
1914401110001;136;2;4;184;1;3.78;19.0;3.78;19.0;3.85;22.0;3.82;41.0;1
1914401110002;206;2;8;184;1;2.49;19.0;2.49;19.0;3.2;22.0;2.87;41.0;1
1914401110004;398;2;10;184;1;3.2;19.0;3.2;19.0;3.86;22.0;3.56;41.0;1
1914401110005;657;2;2;184;1;3.14;19.0;3.14;19.0;3.53;22.0;3.35;41.0;1
1914401110006;1068;2;4;184;1;3.69;19.0;3.69;19.0;3.96;22.0;3.84;41.0;1
1914401110007;1397;2;8;184;1;3.06;19.0;3.06;19.0;3.37;22.0;3.23;41.0;1
1914401110008;1739;2;8;184;1;3.65;19.0;3.65;19.0;3.87;22.0;3.77;41.0;1
1914401110009;2239;2;8;184;1;3.46;19.0;3.46;19.0;3.64;22.0;3.56;41.0;1
1914401110010;1888;2;8;184;1;3.38;19.0;3.38;19.0;3.77;22.0;3.59;41.0;1
1914401110011;2089;2;10;184;1;3.11;19.0;3.11;19.0;3.28;22.0;3.2;41.0;1
1914401110012;2206;2;10;184;1;2.81;19.0;2.81;19.0;3.23;22.0;3.04;41.0;1
1914401110013;2445;2;10;184;1;3.13;19.0;3.13;19.0;3.19;22.0;3.16;41.0;1
1914401110014;2535;2;5;184;1;3.14;19.0;3.14;19.0;3.68;22.0;3.43;41.0;1
1914401110016;2885;2;4;184;1;3.53;19.0;3.53;19.0;3.77;22.0;3.66;41.0;1
1914401110017;2944;2;4;184;1;3.18;19.0;3.18;19.0;3.33;22.0;3.26;41.0;1
1914401110018;2988;2;10;184;1;3.33;19.0;3.33;19.0;3.76;22.0;3.56;41.0;1
1914401110019;3258;2;8;184;1;3.25;19.0;3.25;19.0;3.7;22.0;3.49;41.0;1
1914401110020;3410;2;4;184;1;3.57;19.0;3.57;19.0;3.81;22.0;3.7;41.0;1
1914401110021;3420;2;8;184;1;3.57;19.0;3.57;19.0;3.68;22.0;3.63;41.0;1
1914401110022;3515;2;10;184;1;2.69;19.0;2.69;19.0;3.19;22.0;2.96;41.0;1
1914401110023;3612;2;8;184;1;3.18;19.0;3.18;19.0;3.75;22.0;3.49;41.0;1
1914901110001;46;6;8;184;0;3.82;18.0;3.82;18.0;3.82;18.0;3.82;36.0;1
1914901110002;65;6;8;184;0;3.57;18.0;3.57;18.0;3.88;18.0;3.73;36.0;1
1914901110003;75;6;8;184;0;3.75;18.0;3.75;18.0;3.92;18.0;3.83;36.0;1
1914901110004;86;6;8;184;0;3.75;18.0;3.75;18.0;3.93;18.0;3.84;36.0;1
1914901110005;180;6;8;184;0;3.88;18.0;3.88;18.0;3.82;18.0;3.85;36.0;1
1914901110006;347;6;8;184;0;3.88;18.0;3.88;18.0;3.87;18.0;3.88;36.0;1
1914901110007;349;6;8;184;0;3.75;18.0;3.75;18.0;3.82;18.0;3.78;36.0;1
1914901110008;368;6;8;184;0;3.75;18.0;3.75;18.0;3.85;18.0;3.8;36.0;1
1914901110009;405;6;8;184;0;3.63;18.0;3.63;18.0;3.85;18.0;3.74;36.0;1
1914901110010;467;6;15;20;5;3.75;18.0;3.75;18.0;3.82;18.0;3.78;36.0;1
1914901110011;497;6;8;184;0;3.41;18.0;3.41;18.0;3.68;18.0;3.55;36.0;1
1914901110012;583;6;8;184;0;3.82;18.0;3.82;18.0;3.78;18.0;3.8;36.0;1
